"job_id","company_name","job_title","salary_year_avg","skills"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","python"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","mysql"
1246069,"Plexus Resource Solutions","Data Analyst","165000.0","aws"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sql"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","python"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","r"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sas"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","matlab"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","pandas"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","tableau"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","looker"
712473,"Get It Recruit - Information Technology","Data Analyst","165000.0","sas"
456042,"Get It Recruit - Healthcare","Data Analyst","151500.0","sql"
456042,"Get It Recruit - Healthcare","Data Analyst","151500.0","python"
456042,"Get It Recruit - Healthcare","Data Analyst","151500.0","r"
405581,"CyberCoders","Data Analyst","145000.0","python"
405581,"CyberCoders","Data Analyst","145000.0","java"
405581,"CyberCoders","Data Analyst","145000.0","r"
405581,"CyberCoders","Data Analyst","145000.0","javascript"
405581,"CyberCoders","Data Analyst","145000.0","c++"
405581,"CyberCoders","Data Analyst","145000.0","tableau"
405581,"CyberCoders","Data Analyst","145000.0","power bi"
405581,"CyberCoders","Data Analyst","145000.0","qlik"
479485,"Level","Data Analyst","145000.0","sql"
479485,"Level","Data Analyst","145000.0","python"
479485,"Level","Data Analyst","145000.0","r"
479485,"Level","Data Analyst","145000.0","golang"
479485,"Level","Data Analyst","145000.0","elasticsearch"
479485,"Level","Data Analyst","145000.0","aws"
479485,"Level","Data Analyst","145000.0","bigquery"
479485,"Level","Data Analyst","145000.0","gcp"
479485,"Level","Data Analyst","145000.0","pandas"
479485,"Level","Data Analyst","145000.0","scikit-learn"
479485,"Level","Data Analyst","145000.0","looker"
479485,"Level","Data Analyst","145000.0","kubernetes"
1090975,"Uber","Data Analyst","140500.0","sql"
1090975,"Uber","Data Analyst","140500.0","python"
1090975,"Uber","Data Analyst","140500.0","r"
1090975,"Uber","Data Analyst","140500.0","swift"
1090975,"Uber","Data Analyst","140500.0","excel"
1090975,"Uber","Data Analyst","140500.0","tableau"
1090975,"Uber","Data Analyst","140500.0","looker"
1482852,"Overmind","Data Analyst","138500.0","sql"
1482852,"Overmind","Data Analyst","138500.0","python"
479965,"InvestM Technology LLC","Data Analyst","135000.0","sql"
479965,"InvestM Technology LLC","Data Analyst","135000.0","excel"
479965,"InvestM Technology LLC","Data Analyst","135000.0","power bi"
1326467,"EPIC Brokers","Data Analyst","135000.0","excel"
